	postsynaptic_ID	counts	presynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
328	720575940617872523	3	720575940606626481	720575940617872523	CB3854	gaba	optic	ME
329	720575940382537927	2	720575940606626481	720575940382537927	nan	nan	nan	nan
330	720575940644067232	2	720575940606626481	720575940644067232	L3	acetylcholine	optic	LA>ME
331	720575940625438188	2	720575940606626481	720575940625438188	T2	acetylcholine	optic	ME>LO
332	720575940622329309	2	720575940606626481	720575940622329309	Tm1	acetylcholine	optic	ME>LO
333	720575940382533063	2	720575940606626481	720575940382533063	nan	nan	nan	nan
334	720575940615919366	2	720575940606626481	720575940615919366	nan	nan	nan	nan
335	720575940467316049	2	720575940606626481	720575940467316049	nan	nan	nan	nan
336	720575940611446022	2	720575940606626481	720575940611446022	nan	nan	nan	nan
337	720575940510501873	2	720575940606626481	720575940510501873	nan	nan	nan	nan
338	720575940616018694	2	720575940606626481	720575940616018694	nan	nan	nan	nan
339	720575940621690239	2	720575940606626481	720575940621690239	T2	acetylcholine	optic	ME>LO
340	720575940635329016	2	720575940606626481	720575940635329016	Mi9	glutamate	optic	ME
341	720575940523840176	1	720575940606626481	720575940523840176	nan	nan	nan	nan
342	720575940624460791	1	720575940606626481	720575940624460791	Mi2	gaba	optic	ME
343	720575940532450376	1	720575940606626481	720575940532450376	nan	nan	nan	nan
344	720575940615115059	1	720575940606626481	720575940615115059	R7	glutamate	sensory	visual
345	720575940637545317	1	720575940606626481	720575940637545317	nan	nan	nan	nan
346	720575940539630086	1	720575940606626481	720575940539630086	nan	nan	nan	nan
347	720575940631592280	1	720575940606626481	720575940631592280	nan	nan	nan	nan
348	720575940631352408	1	720575940606626481	720575940631352408	nan	nan	nan	nan
